Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,GEO_Accession (exp),source_name,Host,isolation_source,Genotype,sample_type,collected_by,lat_lon,replicate,treatment,host_disease,isolate,growth_condition,Alias,Broker_name,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,organism,sample_name,SRA_accession,title,Drug_concentration_ug/ml,sample,Time__hours,sra_title (run),Biological_replicate,tissue,genotype/variation,type-material,host_sex,community,Age,dev_stage,sex,Altitude,Biomaterial_provider,growth_phase,Condition,los_status,exposed_to,growth_media,resistance,strain/background,evolved_status,INSDC_center_alias,treated_with,component_organism,host_or_sample_description
SRR8476337,RNA-Seq,102,1423329930,PRJNA516578,SAMN10791434,949245679,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281856,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575491,SRP181544,ATCC 17978,,,,,,,GSM3575491,WT A. baumannii strain ATCC 17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR8476338,RNA-Seq,102,1465281612,PRJNA516578,SAMN10791433,976615258,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281857,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575492,SRP181544,ATCC 17978,,,,,,,GSM3575492,WT A. baumannii strain ATCC 17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR8476339,RNA-Seq,102,1336912980,PRJNA516578,SAMN10791432,894451558,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281858,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575493,SRP181544,ATCC 17978,,,,,,,GSM3575493,WT A. baumannii strain ATCC 17978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR8476340,RNA-Seq,102,1418546232,PRJNA516578,SAMN10791431,953776981,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281859,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575494,SRP181544,ATCC 17978,,,,,,,GSM3575494,WT A. baumannii strain ATCC 17978,,,,,,,,250 ug/ml calprotectin (CP) added for 7 hrs,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR8476341,RNA-Seq,102,1405556226,PRJNA516578,SAMN10791430,944793407,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281860,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575495,SRP181544,ATCC 17978,,,,,,,GSM3575495,WT A. baumannii strain ATCC 17978,,,,,,,,250 ug/ml calprotectin (CP) added for 7 hrs,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR8476342,RNA-Seq,102,1414280184,PRJNA516578,SAMN10791429,942777334,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5281861,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-03-26T00:00:00Z,GSM3575496,SRP181544,ATCC 17978,,,,,,,GSM3575496,WT A. baumannii strain ATCC 17978,,,,,,,,250 ug/ml calprotectin (CP) added for 7 hrs,,,,,,,,,,,,,,,,,,,,,,,,wild type,,,,,,,,,,,,,,,,,,,,
SRR7624642,RNA-Seq,150,5329363705,PRJNA483526,SAMN09742714,2280119285,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488557,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel T2 RNA-Seq,SRP155796,AB5075-UW,T2_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,tetracycline-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
SRR7624643,RNA-Seq,150,7118874868,PRJNA483526,SAMN09742715,2949427458,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488556,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel T3 RNA-Seq,SRP155796,AB5075-UW,T3_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,tetracycline-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
SRR7624644,RNA-Seq,150,6107734871,PRJNA483526,SAMN09742712,2551038329,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488555,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel C3 RNA-Seq,SRP155796,AB5075-UW,C3_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,ciprofloxacin-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
SRR7624645,RNA-Seq,150,4090721321,PRJNA483526,SAMN09742713,1694627782,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488554,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel T1 RNA-Seq,SRP155796,AB5075-UW,T1_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,tetracycline-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SRR7624646,RNA-Seq,150,6421655446,PRJNA483526,SAMN09742710,2685614363,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488553,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel C1 RNA-Seq,SRP155796,AB5075-UW,C1_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,ciprofloxacin-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SRR7624647,RNA-Seq,150,7032468149,PRJNA483526,SAMN09742711,2932143295,MACQUARIE UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4488552,NextSeq 500,PAIRED,unspecified,TRANSCRIPTOMIC,Acinetobacter baumannii,ILLUMINA,2019-08-30T00:00:00Z,AB5075-UW biofilm channel C2 RNA-Seq,SRP155796,AB5075-UW,C2_RNASeq,Pathogen.cl,Aug-2016,Australia,Oceania,Australia: Sydney,,,Homo sapiens,ciprofloxacin-exposed biofilm,,,Amahit Penesyan,33.773822 S 151.115822 E,,,Acinetobacter infections,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
